50,1,1,0,0,0,0,0,0,0,1,0,1,1,3,1,0,1,1,0,0,1,1,0,0,0,0,1,3,0,1,0,0,1,0,1,2,0,0,1,0,1,0,1,0,1,0,0,0,0,1,3,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,3,4,0,0,0,0,2,0,0,0,0,0,0
1,59,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,2,0,2,0,1,4,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,3,39,0,0,1,0,0,2,1,0,2,0,1,2,0,0,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,1,3,0,0,0,0,3,1,1,1,2,0,0,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,41,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,4,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,1,0,25,0,0,2,0,0,1,0,0,0,0,2,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,1,0,0,0,0,0,1,3,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,46,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,3,0,0,1,3,1,0,0,0,0,0,0,0,0,1,3,2,0,0,1,3,0,0,3
0,1,2,0,0,0,0,31,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,4,0,2,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3,1,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,1,2,0,5,0,1,0,0,1
0,0,0,0,1,0,0,0,49,0,1,0,0,0,0,1,0,0,3,0,0,1,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,5,0,0,1,0,1,1,0,0,2,0,0,0,2,1,0,1,0,0,1,0,2,2,0,5,0,0,2,0,0,0,4,0,2,0,0,2,0,0,1
0,1,0,0,1,0,1,0,1,50,0,2,0,1,6,0,0,0,1,0,0,1,2,1,0,0,0,1,6,1,1,0,0,0,0,1,1,0,2,0,0,0,1,1,2,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2,0,0,0,0,0,0,59,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
3,0,0,1,0,0,0,0,0,0,1,21,0,0,2,0,0,1,2,0,3,0,0,1,0,1,0,0,0,0,0,1,3,2,0,1,2,1,2,0,0,1,1,1,1,0,1,4,0,1,0,1,1,0,0,1,0,0,0,1,0,3,2,2,2,0,0,1,0,0,3,0,4,1,1,1,0,0,0,1
1,0,0,0,0,0,0,2,0,1,0,0,15,0,2,2,0,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4,1,1,0,1,1,0,0,2,0,0,0,2,0,1,0,1,0,1,1,0,0,0,1,0,2,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
1,0,4,1,0,0,0,1,1,1,0,0,0,34,3,1,1,2,0,0,0,0,1,1,1,0,0,3,0,2,1,1,1,0,0,0,0,0,2,2,3,1,1,0,0,2,1,0,1,1,0,3,1,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0
6,0,1,0,0,0,0,0,0,6,0,0,1,1,39,0,0,2,1,0,0,1,2,1,0,0,0,0,4,0,1,0,1,0,0,1,0,1,1,0,0,2,3,1,0,2,0,1,0,0,0,0,1,1,0,0,0,1,2,0,1,0,1,0,1,1,0,0,2,1,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,51,0,0,1,0,1,0,3,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,6,0,0,0,0,2,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
