eval_variant,loss,accuracy,top5_accuracy,num_examples,top1_drop_vs_clean,top5_drop_vs_clean,robustness_ratio
clean,2.432384356902585,0.5301322880940715,0.7685774946921444,6123,0.0,0.0,1.0
blur,3.3965655197101188,0.30393597909521475,0.5525069410419728,6123,0.2261963089988568,0.21607055365017158,0.5733210104744301
lowres,3.925384559643808,0.2095378082639229,0.42969132778049973,6123,0.32059447983014866,0.3388861669116447,0.39525569932224275
grayscale,5.517237124909534,0.04654581087702107,0.14813000163318635,6123,0.48358647721705045,0.6204474930589581,0.0878003696857671
crop,2.744902209248123,0.44455332353421523,0.699657030867222,6123,0.08557896455985631,0.06892046382492245,0.8385705483672211
occlusion,2.53042059717236,0.4977951984321411,0.7560019598236158,6123,0.03233708966193044,0.012575534868528582,0.9390018484288355
