class_index,class_name,clean_acc,blur_acc,lowres_acc,grayscale_acc,crop_acc,occlusion_acc
0,lasagna,0.5473684210526316,0.3578947368421052,0.1789473684210526,0.0,0.5263157894736842,0.4947368421052631
1,grilled_cheese_sandwich,0.7126436781609196,0.3103448275862069,0.1379310344827586,0.0,0.6781609195402298,0.6551724137931034
2,strudel,0.5487804878048781,0.1463414634146341,0.024390243902439,0.0,0.4756097560975609,0.5975609756097561
3,greek_salad,0.84,0.6666666666666666,0.6133333333333333,0.0,0.7866666666666666,0.7466666666666667
4,scotch_egg,0.8064516129032258,0.532258064516129,0.3064516129032258,0.0161290322580645,0.6612903225806451,0.6935483870967742
5,waffle,0.4833333333333333,0.5166666666666667,0.3833333333333333,0.15,0.4166666666666667,0.4166666666666667
6,chocolate_mousse,0.5869565217391305,0.4021739130434782,0.2608695652173913,0.1304347826086956,0.5,0.6195652173913043
7,brisket,0.573170731707317,0.0609756097560975,0.0365853658536585,0.1585365853658536,0.3780487804878049,0.4878048780487805
8,compote,0.4591836734693877,0.2857142857142857,0.2040816326530612,0.0510204081632653,0.5,0.3979591836734694
9,croquette,0.6739130434782609,0.4782608695652174,0.4021739130434782,0.0,0.5434782608695652,0.6739130434782609
10,stuffed_peppers,0.8589743589743589,0.6794871794871795,0.4615384615384615,0.0,0.7564102564102564,0.8333333333333334
11,confit,0.3012048192771084,0.108433734939759,0.0602409638554216,0.0,0.253012048192771,0.2289156626506024
12,salisbury_steak,0.3508771929824561,0.2280701754385964,0.1578947368421052,0.0,0.2631578947368421,0.2456140350877192
13,ambrosia_food,0.4395604395604395,0.2417582417582417,0.1978021978021978,0.0329670329670329,0.3736263736263736,0.3736263736263736
14,fritter,0.4468085106382978,0.4361702127659574,0.3297872340425531,0.0,0.4148936170212766,0.4468085106382978
15,beef_stroganoff,0.675,0.25,0.1125,0.0,0.6375,0.6625
16,caprese_salad,0.7752808988764045,0.8089887640449438,0.7078651685393258,0.0,0.7528089887640449,0.6853932584269663
17,fried_calamari,0.6029411764705882,0.1764705882352941,0.1029411764705882,0.0,0.5294117647058824,0.4264705882352941
18,poutine,0.6491228070175439,0.6140350877192983,0.5087719298245614,0.0,0.5789473684210527,0.543859649122807
19,marble_cake,0.0,0.0,0.0,0.0,0.0,0.0
20,beef_bourguignonne,0.6029411764705882,0.2794117647058823,0.1029411764705882,0.0,0.5147058823529411,0.5588235294117647
21,chicken_curry,0.5066666666666667,0.1866666666666666,0.0666666666666666,0.0,0.4,0.5466666666666666
22,dumpling,0.4947368421052631,0.4842105263157895,0.4210526315789473,0.2947368421052631,0.4736842105263157,0.5263157894736842
23,crumpet,0.5432098765432098,0.345679012345679,0.2098765432098765,0.0617283950617283,0.4814814814814814,0.4444444444444444
24,tamale,0.3538461538461538,0.0461538461538461,0.0153846153846153,0.0,0.1846153846153846,0.3538461538461538
25,grilled_salmon,0.4814814814814814,0.1358024691358024,0.074074074074074,0.0,0.3703703703703703,0.4938271604938271
26,pilaf,0.5,0.0147058823529411,0.0,0.0,0.2205882352941176,0.4411764705882353
27,rugulah,0.1166666666666666,0.0,0.0166666666666666,0.0833333333333333,0.1166666666666666,0.1333333333333333
28,crab_cake,0.367816091954023,0.2758620689655172,0.1494252873563218,0.0,0.4482758620689655,0.3563218390804598
29,coconut_cake,0.6,0.3,0.0888888888888888,0.3555555555555555,0.5,0.4777777777777778
30,scrambled_eggs,0.5671641791044776,0.5373134328358209,0.3283582089552239,0.0,0.5373134328358209,0.582089552238806
31,haggis,0.2580645161290322,0.1129032258064516,0.0806451612903225,0.0,0.2741935483870967,0.2419354838709677
32,tuna_tartare,0.6268656716417911,0.5223880597014925,0.5074626865671642,0.0,0.5970149253731343,0.5074626865671642
33,carbonnade_flamande,0.3472222222222222,0.0694444444444444,0.0,0.0,0.1944444444444444,0.3611111111111111
34,entrecote,0.3529411764705882,0.1029411764705882,0.0441176470588235,0.0,0.3235294117647059,0.2647058823529412
35,lobster_food,0.3493975903614458,0.0843373493975903,0.0120481927710843,0.0,0.2650602409638554,0.3614457831325301
36,crab_food,0.2727272727272727,0.1616161616161616,0.0808080808080808,0.0,0.2525252525252525,0.303030303030303
37,barbecued_wing,0.5876288659793815,0.3505154639175257,0.2268041237113402,0.0206185567010309,0.5670103092783505,0.5979381443298969
38,poached_egg,0.5416666666666666,0.6805555555555556,0.625,0.0416666666666666,0.5138888888888888,0.4027777777777778
39,spaghetti_bolognese,0.7719298245614035,0.1052631578947368,0.0175438596491228,0.0,0.4385964912280701,0.6842105263157895
40,frozen_yogurt,0.6103896103896104,0.3896103896103896,0.2727272727272727,0.1298701298701298,0.4285714285714285,0.5584415584415584
41,welsh_rarebit,0.1764705882352941,0.196078431372549,0.1176470588235294,0.0,0.2745098039215686,0.2156862745098039
42,donut,0.5348837209302325,0.3372093023255814,0.2906976744186046,0.1511627906976744,0.4418604651162791,0.5465116279069767
43,rigatoni,0.5068493150684932,0.0547945205479452,0.0410958904109589,0.0,0.3561643835616438,0.3972602739726027
44,ham_sandwich,0.5443037974683544,0.430379746835443,0.3924050632911392,0.0,0.4556962025316455,0.4936708860759494
45,edamame,0.7529411764705882,0.788235294117647,0.8352941176470589,0.0,0.7764705882352941,0.7647058823529411
46,taco,0.4166666666666667,0.1527777777777778,0.0972222222222222,0.0138888888888888,0.2638888888888889,0.4027777777777778
47,adobo,0.3875,0.05,0.025,0.0,0.25,0.3875
48,croque_madame,0.6190476190476191,0.369047619047619,0.1785714285714285,0.0,0.4642857142857143,0.5714285714285714
49,risotto,0.6153846153846154,0.6153846153846154,0.3717948717948718,0.0512820512820512,0.5256410256410257,0.6153846153846154
50,spaghetti_carbonara,0.7142857142857143,0.2222222222222222,0.0476190476190476,0.0,0.6031746031746031,0.7777777777777778
51,wonton,0.3414634146341463,0.4268292682926829,0.4146341463414634,0.0,0.3536585365853658,0.3048780487804878
52,bacon_and_eggs,0.4130434782608695,0.4565217391304347,0.2826086956521739,0.0,0.3369565217391304,0.391304347826087
53,cheesecake,0.4769230769230769,0.2769230769230769,0.2153846153846154,0.0769230769230769,0.5384615384615384,0.4769230769230769
54,blancmange,0.2586206896551724,0.2413793103448276,0.3448275862068966,0.3793103448275862,0.2586206896551724,0.2758620689655172
55,gingerbread,0.6071428571428571,0.1785714285714285,0.0833333333333333,0.0476190476190476,0.4285714285714285,0.5357142857142857
56,chiffon_cake,0.6530612244897959,0.1938775510204081,0.0408163265306122,0.010204081632653,0.5714285714285714,0.6428571428571429
57,tempura,0.3209876543209876,0.2098765432098765,0.1234567901234567,0.0,0.3086419753086419,0.3703703703703703
58,hot_and_sour_soup,0.5357142857142857,0.5,0.4107142857142857,0.0,0.4107142857142857,0.5357142857142857
59,boiled_egg,0.7209302325581395,0.7906976744186046,0.7906976744186046,0.313953488372093,0.6627906976744186,0.6511627906976745
60,coffee_cake,0.4897959183673469,0.0816326530612244,0.010204081632653,0.0204081632653061,0.3877551020408163,0.5102040816326531
61,tenderloin,0.4320987654320987,0.1851851851851851,0.0617283950617283,0.0,0.3333333333333333,0.4567901234567901
62,upside_down_cake,0.7922077922077922,0.4285714285714285,0.4025974025974026,0.0,0.6883116883116883,0.7142857142857143
63,beef_wellington,0.8732394366197183,0.6619718309859155,0.4788732394366197,0.0,0.7746478873239436,0.8591549295774648
64,terrine,0.2873563218390804,0.1264367816091954,0.0689655172413793,0.0,0.2528735632183908,0.2988505747126437
65,kedgeree,0.5666666666666667,0.2833333333333333,0.15,0.0,0.5833333333333334,0.55
66,scrapple,0.3137254901960784,0.0392156862745098,0.0,0.0588235294117647,0.1372549019607843,0.2941176470588235
67,ravioli,0.36,0.2266666666666666,0.16,0.0,0.2933333333333333,0.2133333333333333
68,cottage_pie,0.7073170731707317,0.6097560975609756,0.2926829268292683,0.0,0.7073170731707317,0.6707317073170732
69,guacamole,0.7631578947368421,0.6578947368421053,0.1842105263157894,0.0,0.6973684210526315,0.8157894736842105
70,huitre,0.4571428571428571,0.1523809523809524,0.0857142857142857,0.2285714285714285,0.3047619047619048,0.4380952380952381
71,torte,0.391304347826087,0.0108695652173913,0.0217391304347826,0.0869565217391304,0.2065217391304347,0.4021739130434782
72,filet_mignon,0.4683544303797468,0.0632911392405063,0.0253164556962025,0.0,0.2531645569620253,0.430379746835443
73,crumb_cake,0.7040816326530612,0.1224489795918367,0.0408163265306122,0.0510204081632653,0.6020408163265306,0.5918367346938775
74,jerky,0.6571428571428571,0.0714285714285714,0.0285714285714285,0.1714285714285714,0.4,0.6571428571428571
75,tamale_pie,0.5333333333333333,0.3333333333333333,0.2333333333333333,0.0,0.4666666666666667,0.4833333333333333
76,applesauce,0.5584415584415584,0.4545454545454545,0.3896103896103896,0.0,0.4155844155844156,0.4415584415584415
77,pho,0.6181818181818182,0.1272727272727272,0.0363636363636363,0.0,0.3818181818181818,0.6181818181818182
78,fried_rice,0.6428571428571429,0.0,0.0,0.0,0.3333333333333333,0.5952380952380952
79,savarin,0.2972972972972973,0.2567567567567567,0.1891891891891892,0.3513513513513513,0.1891891891891892,0.2432432432432432
