class_index,class_name,clean_acc,blur_acc,lowres_acc,grayscale_acc,crop_acc,occlusion_acc,blur_drop,lowres_drop,grayscale_drop,crop_drop,occlusion_drop,local_detail_score,structure_score
0,lasagna,0.5473684210526316,0.3578947368421052,0.1789473684210526,0.0,0.5263157894736842,0.4947368421052631,0.1894736842105264,0.368421052631579,0.5473684210526316,0.021052631578947434,0.05263157894736853,0.5578947368421054,0.07368421052631596
1,grilled_cheese_sandwich,0.7126436781609196,0.3103448275862069,0.1379310344827586,0.0,0.6781609195402298,0.6551724137931034,0.40229885057471265,0.574712643678161,0.7126436781609196,0.034482758620689724,0.05747126436781613,0.9770114942528736,0.09195402298850586
2,strudel,0.5487804878048781,0.1463414634146341,0.024390243902439,0.0,0.4756097560975609,0.5975609756097561,0.402439024390244,0.524390243902439,0.5487804878048781,0.0731707317073172,-0.04878048780487798,0.9268292682926831,0.024390243902439213
3,greek_salad,0.84,0.6666666666666666,0.6133333333333333,0.0,0.7866666666666666,0.7466666666666667,0.17333333333333334,0.22666666666666668,0.84,0.053333333333333344,0.09333333333333327,0.4,0.1466666666666666
4,scotch_egg,0.8064516129032258,0.532258064516129,0.3064516129032258,0.0161290322580645,0.6612903225806451,0.6935483870967742,0.27419354838709675,0.49999999999999994,0.7903225806451613,0.14516129032258063,0.11290322580645151,0.7741935483870968,0.25806451612903214
5,waffle,0.4833333333333333,0.5166666666666667,0.3833333333333333,0.15,0.4166666666666667,0.4166666666666667,-0.03333333333333344,0.09999999999999998,0.33333333333333326,0.0666666666666666,0.0666666666666666,0.06666666666666654,0.1333333333333332
6,chocolate_mousse,0.5869565217391305,0.4021739130434782,0.2608695652173913,0.1304347826086956,0.5,0.6195652173913043,0.18478260869565227,0.3260869565217392,0.4565217391304349,0.08695652173913049,-0.032608695652173836,0.5108695652173915,0.05434782608695665
7,brisket,0.573170731707317,0.0609756097560975,0.0365853658536585,0.1585365853658536,0.3780487804878049,0.4878048780487805,0.5121951219512195,0.5365853658536586,0.41463414634146345,0.19512195121951215,0.08536585365853655,1.048780487804878,0.2804878048780487
8,compote,0.4591836734693877,0.2857142857142857,0.2040816326530612,0.0510204081632653,0.5,0.3979591836734694,0.173469387755102,0.2551020408163265,0.4081632653061224,-0.04081632653061229,0.061224489795918324,0.4285714285714285,0.020408163265306034
9,croquette,0.6739130434782609,0.4782608695652174,0.4021739130434782,0.0,0.5434782608695652,0.6739130434782609,0.19565217391304346,0.27173913043478265,0.6739130434782609,0.13043478260869568,0.0,0.4673913043478261,0.13043478260869568
10,stuffed_peppers,0.8589743589743589,0.6794871794871795,0.4615384615384615,0.0,0.7564102564102564,0.8333333333333334,0.1794871794871794,0.3974358974358974,0.8589743589743589,0.10256410256410253,0.02564102564102555,0.5769230769230769,0.12820512820512808
11,confit,0.3012048192771084,0.108433734939759,0.0602409638554216,0.0,0.253012048192771,0.2289156626506024,0.1927710843373494,0.2409638554216868,0.3012048192771084,0.048192771084337394,0.07228915662650601,0.4337349397590362,0.1204819277108434
12,salisbury_steak,0.3508771929824561,0.2280701754385964,0.1578947368421052,0.0,0.2631578947368421,0.2456140350877192,0.12280701754385973,0.19298245614035092,0.3508771929824561,0.08771929824561403,0.10526315789473692,0.3157894736842106,0.19298245614035095
13,ambrosia_food,0.4395604395604395,0.2417582417582417,0.1978021978021978,0.0329670329670329,0.3736263736263736,0.3736263736263736,0.1978021978021978,0.2417582417582417,0.4065934065934066,0.06593406593406592,0.06593406593406592,0.4395604395604395,0.13186813186813184
14,fritter,0.4468085106382978,0.4361702127659574,0.3297872340425531,0.0,0.4148936170212766,0.4468085106382978,0.010638297872340385,0.11702127659574468,0.4468085106382978,0.03191489361702121,0.0,0.12765957446808507,0.03191489361702121
15,beef_stroganoff,0.675,0.25,0.1125,0.0,0.6375,0.6625,0.42500000000000004,0.5625,0.675,0.03750000000000009,0.012500000000000067,0.9875,0.050000000000000155
16,caprese_salad,0.7752808988764045,0.8089887640449438,0.7078651685393258,0.0,0.7528089887640449,0.6853932584269663,-0.0337078651685393,0.0674157303370787,0.7752808988764045,0.022471910112359605,0.0898876404494382,0.03370786516853941,0.1123595505617978
17,fried_calamari,0.6029411764705882,0.1764705882352941,0.1029411764705882,0.0,0.5294117647058824,0.4264705882352941,0.4264705882352941,0.5,0.6029411764705882,0.07352941176470584,0.1764705882352941,0.9264705882352942,0.24999999999999994
18,poutine,0.6491228070175439,0.6140350877192983,0.5087719298245614,0.0,0.5789473684210527,0.543859649122807,0.03508771929824561,0.14035087719298245,0.6491228070175439,0.07017543859649122,0.10526315789473684,0.17543859649122806,0.17543859649122806
19,marble_cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,beef_bourguignonne,0.6029411764705882,0.2794117647058823,0.1029411764705882,0.0,0.5147058823529411,0.5588235294117647,0.3235294117647059,0.5,0.6029411764705882,0.08823529411764708,0.044117647058823484,0.8235294117647058,0.13235294117647056
21,chicken_curry,0.5066666666666667,0.1866666666666666,0.0666666666666666,0.0,0.4,0.5466666666666666,0.3200000000000001,0.4400000000000001,0.5066666666666667,0.10666666666666669,-0.039999999999999925,0.7600000000000002,0.06666666666666676
22,dumpling,0.4947368421052631,0.4842105263157895,0.4210526315789473,0.2947368421052631,0.4736842105263157,0.5263157894736842,0.010526315789473606,0.0736842105263158,0.2,0.02105263157894738,-0.031578947368421095,0.0842105263157894,-0.010526315789473717
23,crumpet,0.5432098765432098,0.345679012345679,0.2098765432098765,0.0617283950617283,0.4814814814814814,0.4444444444444444,0.19753086419753085,0.33333333333333337,0.48148148148148157,0.06172839506172845,0.09876543209876543,0.5308641975308642,0.16049382716049387
24,tamale,0.3538461538461538,0.0461538461538461,0.0153846153846153,0.0,0.1846153846153846,0.3538461538461538,0.3076923076923077,0.33846153846153854,0.3538461538461538,0.1692307692307692,0.0,0.6461538461538463,0.1692307692307692
25,grilled_salmon,0.4814814814814814,0.1358024691358024,0.074074074074074,0.0,0.3703703703703703,0.4938271604938271,0.345679012345679,0.4074074074074074,0.4814814814814814,0.1111111111111111,-0.012345679012345678,0.7530864197530864,0.09876543209876543
26,pilaf,0.5,0.0147058823529411,0.0,0.0,0.2205882352941176,0.4411764705882353,0.4852941176470589,0.5,0.5,0.27941176470588236,0.05882352941176472,0.9852941176470589,0.3382352941176471
27,rugulah,0.1166666666666666,0.0,0.0166666666666666,0.0833333333333333,0.1166666666666666,0.1333333333333333,0.1166666666666666,0.1,0.0333333333333333,0.0,-0.016666666666666705,0.21666666666666662,-0.016666666666666705
28,crab_cake,0.367816091954023,0.2758620689655172,0.1494252873563218,0.0,0.4482758620689655,0.3563218390804598,0.0919540229885058,0.2183908045977012,0.367816091954023,-0.08045977011494254,0.011494252873563204,0.31034482758620696,-0.06896551724137934
29,coconut_cake,0.6,0.3,0.0888888888888888,0.3555555555555555,0.5,0.4777777777777778,0.3,0.5111111111111112,0.24444444444444446,0.09999999999999998,0.12222222222222218,0.8111111111111111,0.22222222222222215
30,scrambled_eggs,0.5671641791044776,0.5373134328358209,0.3283582089552239,0.0,0.5373134328358209,0.582089552238806,0.02985074626865669,0.2388059701492537,0.5671641791044776,0.02985074626865669,-0.014925373134328401,0.2686567164179104,0.01492537313432829
31,haggis,0.2580645161290322,0.1129032258064516,0.0806451612903225,0.0,0.2741935483870967,0.2419354838709677,0.1451612903225806,0.1774193548387097,0.2580645161290322,-0.016129032258064502,0.016129032258064502,0.32258064516129026,0.0
32,tuna_tartare,0.6268656716417911,0.5223880597014925,0.5074626865671642,0.0,0.5970149253731343,0.5074626865671642,0.10447761194029859,0.11940298507462688,0.6268656716417911,0.029850746268656803,0.11940298507462688,0.22388059701492546,0.14925373134328368
33,carbonnade_flamande,0.3472222222222222,0.0694444444444444,0.0,0.0,0.1944444444444444,0.3611111111111111,0.2777777777777778,0.3472222222222222,0.3472222222222222,0.15277777777777782,-0.013888888888888895,0.625,0.13888888888888892
34,entrecote,0.3529411764705882,0.1029411764705882,0.0441176470588235,0.0,0.3235294117647059,0.2647058823529412,0.25,0.3088235294117647,0.3529411764705882,0.029411764705882304,0.08823529411764702,0.5588235294117647,0.11764705882352933
35,lobster_food,0.3493975903614458,0.0843373493975903,0.0120481927710843,0.0,0.2650602409638554,0.3614457831325301,0.2650602409638555,0.3373493975903615,0.3493975903614458,0.08433734939759041,-0.01204819277108432,0.602409638554217,0.07228915662650609
36,crab_food,0.2727272727272727,0.1616161616161616,0.0808080808080808,0.0,0.2525252525252525,0.303030303030303,0.1111111111111111,0.1919191919191919,0.2727272727272727,0.02020202020202022,-0.030303030303030276,0.303030303030303,-0.010101010101010055
37,barbecued_wing,0.5876288659793815,0.3505154639175257,0.2268041237113402,0.0206185567010309,0.5670103092783505,0.5979381443298969,0.23711340206185577,0.3608247422680413,0.5670103092783506,0.020618556701030966,-0.010309278350515427,0.597938144329897,0.010309278350515538
38,poached_egg,0.5416666666666666,0.6805555555555556,0.625,0.0416666666666666,0.5138888888888888,0.4027777777777778,-0.13888888888888895,-0.08333333333333337,0.5,0.02777777777777779,0.13888888888888884,-0.22222222222222232,0.16666666666666663
39,spaghetti_bolognese,0.7719298245614035,0.1052631578947368,0.0175438596491228,0.0,0.4385964912280701,0.6842105263157895,0.6666666666666666,0.7543859649122807,0.7719298245614035,0.33333333333333337,0.08771929824561397,1.4210526315789473,0.42105263157894735
